dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,centTask,peri,trialT,trialN
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.025,0.025,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.1,0.1,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.2,0.2,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.4,0.4,0,0,10,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.8,0.8,0,0,10,1
